# nruns = 10
# regions = False
# lr = 0.01
# rmsize = 1000
# steps = 50
# playouts = 100
# train_size = 100
# epochs = 20
# batch_size = 5
n,epsilon,loss,eval_reach,eval_crash
6,0.9132653061224489,4107.986643981933,256,256
6,0.8948979591836734,7159.277423095703,317,195
6,0.8765306122448979,3163.385905456543,320,192
6,0.8581632653061224,1976.7586990356444,169,343
6,0.8397959183673469,1760.451119995117,196,316
6,0.8214285714285714,419.39296970367434,159,353
6,0.8030612244897959,1207.3716194152832,293,219
6,0.7846938775510204,1949.7350875854493,292,220
6,0.7663265306122449,3323.3986419677735,330,182
6,0.7479591836734694,1474.3820434570312,308,204
6,0.7295918367346939,1337.79729681015,306,206
6,0.7112244897959183,2300.562802886963,269,243
6,0.6928571428571428,768.387487411499,286,226
6,0.6744897959183673,1221.1019996643067,252,260
6,0.6561224489795918,1085.5499710083009,278,234
6,0.6377551020408163,2297.4237735748293,252,260
6,0.6193877551020408,1040.8863189697265,314,198
6,0.6010204081632653,1307.658242034912,287,225
6,0.5826530612244898,518.4998558044433,300,212
6,0.5642857142857143,554.1203903198242,318,194
6,0.5459183673469388,1113.9683725357056,339,173
6,0.5275510204081633,2420.4045547485352,302,210
6,0.5091836734693878,625.0392148971557,350,162
6,0.49081632653061225,423.8743556976318,312,200
6,0.47244897959183674,486.03508100509646,314,198
6,0.45408163265306123,853.0969385623932,314,198
6,0.4357142857142857,223.63380002975464,346,166
6,0.4173469387755102,317.34703426361085,330,182
6,0.3989795918367347,287.22522077560427,346,166
6,0.3806122448979592,135.62600741386413,349,163
6,0.3622448979591837,107.43810806274413,346,166
6,0.3438775510204082,312.93226103782655,368,144
6,0.32551020408163267,115.09577717781067,340,172
6,0.30714285714285716,74.40397052764892,342,170
6,0.28877551020408165,75.21617212295533,360,152
6,0.27040816326530615,176.05416741371155,354,158
6,0.25204081632653064,111.06295661926269,297,215
6,0.23367346938775513,120.6199402809143,320,192
6,0.21530612244897962,117.09898824691773,368,144
6,0.1969387755102041,312.72460594177244,358,154
6,0.1785714285714286,230.16310482025148,346,166
6,0.1602040816326531,82.01872572898864,355,157
6,0.1418367346938776,65.58780913352966,360,152
6,0.12346938775510208,136.26143131256103,364,148
6,0.10510204081632657,100.8841830253601,360,152
6,0.08673469387755106,51.046067929267885,366,146
6,0.06836734693877555,108.4234586238861,364,148
6,0.05,87.14876203536987,338,174
7,0.95,131.01380568146706,230,282
7,0.9316326530612244,2766.611213684082,254,258
7,0.9132653061224489,6053.373156738281,184,328
7,0.8948979591836734,7278.638049316406,192,320
7,0.8765306122448979,7179.0552734375,218,294
7,0.8581632653061224,4223.822589111328,266,246
7,0.8397959183673469,3646.7508121490478,310,202
7,0.8214285714285714,2647.965794372559,273,239
7,0.8030612244897959,3111.7597930908205,220,292
7,0.7846938775510204,5474.513406372071,152,360
7,0.7663265306122449,5256.880392456054,204,308
7,0.7479591836734694,6727.32348022461,233,279
7,0.7295918367346939,1616.0174621582032,276,236
7,0.7112244897959183,930.3646133422851,305,207
7,0.6928571428571428,1821.3974838256836,290,222
7,0.6744897959183673,836.4363891601563,324,188
7,0.6561224489795918,1210.5892353057861,352,160
7,0.6377551020408163,470.2109094619751,316,196
7,0.6193877551020408,2052.1620502471924,331,181
7,0.6010204081632653,1666.8823890686035,292,220
7,0.5826530612244898,1522.7229084014893,214,298
7,0.5642857142857143,1857.9338886260987,166,346
7,0.5459183673469388,3599.0985794067383,235,277
7,0.5275510204081633,2983.4898750305174,300,212
7,0.5091836734693878,2040.093394470215,303,209
7,0.49081632653061225,1174.6115808486938,310,202
7,0.47244897959183674,287.78340396881106,339,173
7,0.45408163265306123,910.5456802368165,328,184
7,0.4357142857142857,549.8594743728638,340,172
7,0.4173469387755102,1642.5567335128785,309,203
7,0.3989795918367347,455.37483830451964,323,189
7,0.3806122448979592,912.750393486023,275,237
7,0.3622448979591837,620.1470413208008,342,170
7,0.3438775510204082,607.9776191711426,359,153
7,0.32551020408163267,317.97418479919435,359,153
